Region,CO2 Emissions
Asia,"3,694,242"
Asia,"3,388"
Asia,"36,952"
Asia,"1,226,791"
Asia,"306,737"
Asia,"1,216,751"
Asia,"151,946"
Asia,"76,109"
Asia,"465,632"
Asia,"4,848"
Asia,"1,177"
Asia,"1,525"
Asia,"135,129"
Asia,689
Asia,"8,287"
Asia,"9,208"
Asia,"2,710"
Asia,"114,084"
Asia,"71,338"
Asia,"47,231"
Asia,"11,008"
Asia,"1,881"
Asia,"215,975"
Asia,161
Asia,"40,245"
Asia,"126,915"
Asia,"70,806"
Europe,"3,751"
Europe,532
Europe,"67,179"
Europe,"52,390"
Europe,"107,531"
Europe,"22,919"
Europe,"44,635"
Europe,"21,877"
Europe,"7,022"
Europe,"120,193"
Europe,"49,266"
Europe,"14,936"
Europe,763
Europe,"61,078"
Europe,"380,840"
Europe,"828,771"
Europe,"93,670"
Europe,"56,094"
Europe,"2,171"
Europe,"43,762"
Europe,null
Europe,"452,632"
Europe,null
Europe,"6,652"
Europe,null
Europe,"13,212"
Europe,"9,417"
Europe,"10,935"
Europe,"2,299"
Europe,"3,986"
Europe,null
Europe,null
Europe,"172,364"
Europe,"37,429"
Europe,"296,932"
Europe,"66,820"
Europe,"92,174"
Europe,"1,557,665"
Europe,null
Europe,null
Europe,"39,252"
Europe,"15,420"
Europe,"314,519"
Europe,"57,425"
Europe,"40,718"
Europe,"205,678"
Europe,"318,684"
Europe,"531,939"
Middle East,"15,698"
Middle East,"402,178"
Middle East,"87,260"
Middle East,"63,146"
Middle East,"16,887"
Middle East,"52,753"
Middle East,"16,039"
Middle East,"25,471"
Middle East,"28,482"
Middle East,"326,407"
Middle East,"39,068"
Middle East,"84,704"
Middle East,"15,764"
Oceania,null
Oceania,"341,002"
Oceania,836
Oceania,737
Oceania,null
Oceania,40
Oceania,84
Oceania,147
Oceania,"2,428"
Oceania,"33,201"
Oceania,"3,513"
Oceania,143
Oceania,172
Oceania,147
Oceania,84
The Americas,363
The Americas,"123,266"
The Americas,"2,255"
The Americas,"1,577"
The Americas,"1,228"
The Americas,359
The Americas,524
The Americas,"9,567"
The Americas,"332,267"
The Americas,"519,163"
The Americas,469
The Americas,"55,361"
The Americas,"55,661"
The Americas,"6,326"
The Americas,"26,091"
The Americas,null
The Americas,103
The Americas,"21,500"
The Americas,"24,690"
The Americas,"6,040"
The Americas,539
The Americas,205
The Americas,"11,096"
The Americas,"1,580"
The Americas,"1,826"
The Americas,"6,091"
The Americas,"10,301"
The Americas,"391,251"
The Americas,"4,037"
The Americas,"5,871"
The Americas,"3,898"
The Americas,"27,187"
The Americas,null
The Americas,null
The Americas,198
The Americas,326
The Americas,null
The Americas,187
The Americas,"2,252"
The Americas,"26,890"
The Americas,99
The Americas,"5,650,950"
The Americas,"4,620"
The Americas,"193,262"
Africa,"92,533"
Africa,"9,065"
Africa,"2,321"
Africa,"4,265"
Africa,"1,078"
Africa,165
Africa,"3,795"
Africa,235
Africa,381
Africa,99
Africa,"1,698"
Africa,"1,085"
Africa,"5,460"
Africa,407
Africa,"147,963"
Africa,"6,018"
Africa,726
Africa,"4,947"
Africa,"1,335"
Africa,315
Africa,"7,631"
Africa,"1,342"
Africa,194
Africa,"6,755"
Africa,null
Africa,532
Africa,"49,167"
Africa,"1,701"
Africa,957
Africa,539
Africa,"1,474"
Africa,"3,146"
Africa,"37,561"
Africa,"1,918"
